"Date","Time","Open","High","Low","Close","Vol","OI"
11/29/2022,16:00,21.32,21.42,20.47,20.77,137902727,0
11/30/2022,16:00,20.85,23.65,20.65,23.56,272734914,0
12/01/2022,16:00,23.70,24.17,23.01,23.69,205503622,0
12/02/2022,16:00,22.45,23.63,22.39,23.41,181655021,0
12/05/2022,16:00,22.88,23.20,21.86,22.23,150989965,0
12/06/2022,16:00,22.18,22.21,20.50,20.82,169900491,0
12/07/2022,16:00,20.56,21.03,20.18,20.57,173667895,0
12/08/2022,16:00,20.87,21.50,20.39,21.30,188920095,0
12/09/2022,16:00,21.05,21.69,20.77,20.89,177003936,0
12/12/2022,16:00,20.91,21.66,20.67,21.65,112827494,0
12/13/2022,16:00,24.18,24.23,21.72,22.33,347692783,0
12/14/2022,16:00,22.21,22.99,21.08,21.80,289455464,0
12/15/2022,16:00,20.86,21.03,19.35,19.64,214026566,0
12/16/2022,16:00,19.48,19.81,18.71,19.06,175642070,0
12/19/2022,16:00,19.10,19.13,17.98,18.27,155266496,0
12/20/2022,16:00,18.00,18.56,17.67,18.19,172881234,0
12/21/2022,16:00,18.41,19.25,18.23,18.98,163187260,0
12/22/2022,16:00,18.23,18.25,16.58,17.54,230450233,0
12/23/2022,16:00,17.21,17.72,16.83,17.59,165067336,0
12/27/2022,16:00,17.46,17.48,16.72,16.84,131600334,0
12/28/2022,16:00,16.75,17.20,16.10,16.16,182434593,0
12/29/2022,16:00,16.67,17.50,16.53,17.30,153054865,0
12/30/2022,16:00,16.76,17.30,16.50,17.30,150970563,0
01/03/2023,16:00,17.74,18.04,16.47,16.91,179925857,0
01/04/2023,16:00,17.33,17.49,16.54,17.17,217636421,0
01/05/2023,16:00,16.81,16.85,16.28,16.36,181252011,0
01/06/2023,16:00,16.65,17.90,16.10,17.64,233447636,0
01/09/2023,16:00,18.08,18.96,17.89,18.01,186021439,0
01/10/2023,16:00,17.82,18.49,17.70,18.49,164361460,0
01/11/2023,16:00,18.69,19.44,18.52,19.41,151274959,0
01/12/2023,16:00,19.52,19.92,18.59,19.71,280926257,0
01/13/2023,16:00,19.17,20.17,19.10,20.10,159783033,0
01/17/2023,16:00,20.06,20.51,19.81,20.21,139757931,0
01/18/2023,16:00,20.58,20.91,19.39,19.46,186650065,0
01/19/2023,16:00,19.07,19.31,18.58,18.85,166370730,0
01/20/2023,16:00,19.18,20.45,18.96,20.39,161325221,0
01/23/2023,16:00,20.55,22.00,20.38,21.73,194042071,0
01/24/2023,16:00,21.36,21.87,21.24,21.60,145006451,0
01/25/2023,16:00,20.56,21.59,19.98,21.44,218083551,0
01/26/2023,16:00,22.22,22.72,21.60,22.68,203418890,0
01/27/2023,16:00,22.36,23.82,22.33,23.33,188411120,0
01/30/2023,16:00,22.55,22.90,21.85,21.93,173907982,0
01/31/2023,16:00,21.94,22.92,21.90,22.91,158256926,0
02/01/2023,16:00,22.86,24.95,22.36,24.39,271638824,0
02/02/2023,16:00,25.96,27.45,25.75,26.91,267885091,0
02/03/2023,16:00,25.21,27.14,25.11,25.52,267404217,0
02/06/2023,16:00,24.85,25.45,24.52,24.87,161816206,0
02/07/2023,16:00,24.83,26.69,24.54,26.41,259894644,0
02/08/2023,16:00,26.05,26.30,24.81,24.99,181257193,0
02/09/2023,16:00,26.05,26.09,23.93,24.32,197598411,0
02/10/2023,16:00,23.76,24.26,23.22,23.82,183931672,0
02/13/2023,16:00,24.14,25.10,23.85,24.95,139869852,0
02/14/2023,16:00,24.54,25.74,24.05,25.49,255737195,0
02/15/2023,16:00,25.02,26.10,24.85,26.06,138652614,0
02/16/2023,16:00,24.83,25.87,24.53,24.57,194496490,0
02/17/2023,16:00,24.03,24.23,23.30,24.04,194902418,0
02/21/2023,16:00,23.10,23.45,22.29,22.35,150468750,0
02/22/2023,16:00,22.45,22.85,21.98,22.37,167338744,0
02/23/2023,16:00,23.19,23.23,21.95,22.93,179769958,0
02/24/2023,16:00,21.75,22.03,21.35,21.77,172781804,0
02/27/2023,16:00,22.48,22.80,22.10,22.24,138754366,0
02/28/2023,16:00,22.08,22.72,22.00,22.13,127315772,0
03/01/2023,16:00,22.06,22.21,21.37,21.59,154386882,0
03/02/2023,16:00,21.01,22.30,20.95,22.11,159491951,0
03/03/2023,16:00,22.50,23.53,22.38,23.46,151676603,0
03/06/2023,16:00,23.76,24.48,23.50,23.56,151849878,0
03/07/2023,16:00,23.56,23.78,22.52,22.68,176331480,0
03/08/2023,16:00,22.75,23.14,22.33,22.99,145492831,0
03/09/2023,16:00,23.11,23.71,21.59,21.78,196833664,0
03/10/2023,16:00,21.82,22.16,20.62,20.88,314857629,0
03/13/2023,16:00,20.47,22.15,20.13,21.33,329540746,0
03/14/2023,16:00,22.12,22.91,21.92,22.78,217162924,0
03/15/2023,16:00,22.17,23.22,21.83,23.11,274559449,0
03/16/2023,16:00,22.88,25.03,22.72,24.94,229016406,0
03/17/2023,16:00,24.93,25.51,24.10,24.57,201770283,0
03/20/2023,16:00,24.43,24.92,23.89,24.83,164177962,0
03/21/2023,16:00,25.31,26.00,24.93,25.88,135145140,0
03/22/2023,16:00,25.71,26.96,24.65,24.68,237918087,0
03/23/2023,16:00,25.60,26.61,24.88,25.56,196497151,0
03/24/2023,16:00,25.44,25.84,24.84,25.82,169794700,0
03/27/2023,16:00,25.99,26.26,25.06,25.29,136795565,0
03/28/2023,16:00,25.14,25.14,24.29,24.87,118020736,0
03/29/2023,16:00,25.76,26.37,25.57,26.23,119365269,0
03/30/2023,16:00,26.82,27.09,26.49,26.94,130149966,0
03/31/2023,16:00,27.00,28.32,26.91,28.26,127022074,0
04/03/2023,16:00,27.68,28.12,27.33,28.06,125116328,0
04/04/2023,16:00,28.16,28.43,27.42,27.78,116090395,0
04/05/2023,16:00,27.47,27.52,26.41,26.89,129137040,0
04/06/2023,16:00,26.46,27.56,26.11,27.43,120960302,0
04/10/2023,16:00,26.64,27.38,26.17,27.37,118528799,0
04/11/2023,16:00,27.36,27.37,26.70,26.84,104260806,0
04/12/2023,16:00,27.34,27.49,26.00,26.13,174019319,0
04/13/2023,16:00,26.53,27.74,26.49,27.63,123761542,0
04/14/2023,16:00,27.21,27.93,26.70,27.47,142666088,0
04/17/2023,16:00,27.35,27.62,26.81,27.50,114308906,0
04/18/2023,16:00,28.07,28.18,27.20,27.52,106414940,0
04/19/2023,16:00,26.87,27.74,26.84,27.46,95925348,0
04/20/2023,16:00,26.67,27.58,26.47,26.82,136847574,0
04/21/2023,16:00,26.70,27.09,26.25,26.87,114444046,0
04/24/2023,16:00,26.81,27.17,26.14,26.71,107645387,0
04/25/2023,16:00,26.28,26.45,25.17,25.20,138288044,0
04/26/2023,16:00,26.02,26.39,25.51,25.62,124862303,0
04/27/2023,16:00,26.56,27.83,26.39,27.69,127815635,0
04/28/2023,16:00,27.64,28.28,27.33,28.25,130536062,0
05/01/2023,16:00,28.14,28.53,27.87,28.17,89001262,0
05/02/2023,16:00,28.14,28.22,26.96,27.42,124656029,0
05/03/2023,16:00,27.50,28.20,26.83,26.88,170133774,0
05/04/2023,16:00,26.78,27.08,26.28,26.58,121310843,0
05/05/2023,16:00,27.12,28.46,27.03,28.21,97801633,0
05/08/2023,16:00,28.10,28.54,27.82,28.44,75738467,0
05/09/2023,16:00,27.99,28.22,27.81,27.89,64840736,0
05/10/2023,16:00,28.52,29.02,27.87,28.79,151550962,0
05/11/2023,16:00,28.91,29.19,28.49,29.03,97341453,0
05/12/2023,16:00,29.18,29.30,28.17,28.73,105381710,0
05/15/2023,16:00,28.85,29.25,28.43,29.17,86467631,0
05/16/2023,16:00,28.98,29.74,28.96,29.28,79663461,0
05/17/2023,16:00,29.55,30.48,29.23,30.33,101104633,0
05/18/2023,16:00,30.40,32.04,30.40,31.96,135933818,0
05/19/2023,16:00,32.03,32.24,31.45,31.74,99029203,0
05/22/2023,16:00,31.68,32.36,31.67,32.07,83312358,0
05/23/2023,16:00,31.56,31.90,30.73,30.83,106314966,0
05/24/2023,16:00,30.27,30.70,29.77,30.33,117972535,0
05/25/2023,16:00,32.36,32.87,31.68,32.52,130873504,0
05/26/2023,16:00,32.81,35.25,32.79,34.98,126392243,0
05/30/2023,16:00,36.31,36.67,35.04,35.47,135306375,0
05/31/2023,16:00,34.97,35.59,34.40,34.75,105144466,0
06/01/2023,16:00,34.74,36.43,34.41,36.01,108379598,0
06/02/2023,16:00,36.56,37.19,36.01,36.82,108252775,0
06/05/2023,16:00,36.76,37.70,36.56,36.90,103130933,0
06/06/2023,16:00,36.69,37.16,36.26,36.86,79754516,0
06/07/2023,16:00,36.94,37.56,34.77,34.98,114242720,0
06/08/2023,16:00,35.02,36.38,34.95,36.18,94076943,0
06/09/2023,16:00,36.68,37.62,36.20,36.62,103972012,0
06/12/2023,16:00,37.15,38.51,36.84,38.49,77977891,0
06/13/2023,16:00,39.37,39.63,38.32,39.35,133267142,0
06/14/2023,16:00,39.35,40.30,38.42,40.19,152656482,0
06/15/2023,16:00,39.74,42.09,39.51,41.60,127936997,0
06/16/2023,16:00,42.41,42.44,40.65,40.80,112405206,0
06/20/2023,16:00,40.29,41.08,39.60,40.60,84124889,0
06/21/2023,16:00,40.08,40.22,38.50,38.85,99633324,0
06/22/2023,16:00,38.37,40.19,38.24,40.14,105099633,0
06/23/2023,16:00,38.83,39.71,38.38,38.95,112576217,0
06/26/2023,16:00,38.76,39.67,37.34,37.41,108450030,0
06/27/2023,16:00,37.85,39.50,37.60,39.26,97677018,0
06/28/2023,16:00,38.67,40.14,38.63,39.50,108676267,0
06/29/2023,16:00,39.36,39.56,38.67,39.23,99133226,0
06/30/2023,16:00,40.40,41.35,40.29,41.00,92154386,0
07/03/2023,16:00,41.20,41.49,40.84,41.28,39934028,0
07/05/2023,16:00,40.72,41.84,40.71,41.25,69503675,0
07/06/2023,16:00,39.97,40.42,39.29,40.28,85236667,0
07/07/2023,16:00,40.19,41.26,39.78,39.87,84312424,0
07/10/2023,16:00,39.76,40.11,38.93,39.90,86006812,0
07/11/2023,16:00,40.02,40.62,39.30,40.47,81239342,0
07/12/2023,16:00,41.83,42.44,41.15,41.97,115167662,0
07/13/2023,16:00,43.02,44.36,42.83,44.06,82386624,0
07/14/2023,16:00,44.22,45.36,43.72,44.02,93028164,0
07/17/2023,16:00,44.28,45.57,44.11,45.24,72762633,0
07/18/2023,16:00,45.02,46.84,44.31,46.32,98316830,0
07/19/2023,16:00,46.73,47.14,45.82,46.32,100286930,0
07/20/2023,16:00,45.16,45.70,42.69,43.07,116931412,0
07/21/2023,16:00,43.88,44.18,42.51,42.69,102554325,0
07/24/2023,16:00,42.98,43.31,42.20,42.86,63214612,0
07/25/2023,16:00,43.08,44.28,43.08,43.72,69099563,0
07/26/2023,16:00,43.32,43.85,42.44,43.27,102882257,0
07/27/2023,16:00,45.11,45.69,42.45,42.90,130551596,0
07/28/2023,16:00,44.30,45.59,44.13,45.22,102243838,0
07/31/2023,16:00,45.33,45.71,44.82,45.31,79504586,0
08/01/2023,16:00,44.79,45.23,44.21,44.96,77245627,0
08/02/2023,16:00,43.69,43.70,41.53,42.02,129022026,0
08/03/2023,16:00,41.11,42.46,41.05,41.72,101348926,0
08/04/2023,16:00,42.39,43.17,40.97,41.14,123726423,0
08/07/2023,16:00,41.73,42.20,40.94,42.16,74896059,0
08/08/2023,16:00,41.29,41.29,40.00,41.08,94390003,0
